Clientes,Canal,Permanencia,Recencia,Unidades,Venta,Edad,Genero,Segmento
4631844,Fisico,1,80,1000,14999000000,47,M,Potencial
26719928,Fisico,1,20,1000,50000000,19,M,Potencial
3746995,Fisico,1,0,1000,375200000,61,M,Top
128479,Digital,1,8,1000,22269000000,31,M,Bajo
4566021,Digital,1,29,2000,589000000,64,F,Top
5209515,Digital,1,0,13000,771080000,69,M,
772997,Fisico-Digital,9,69,130390,12616830010,47,M,
38351,Fisico,2,60,17000,1748000000,69,M,Top
1456574,Digital,3,0,33600,96165060005,43,M,Top
261336,Fisico-Digital,1,0,38800,8710770000,24,F,Top
1985223,Digital,8,29,309912,51601150019,21,M,Top
125397,Digital,1,27,1000,5939460000,56,M,Bajo
4480767,Digital,1,5,8000,796000000,39,F,Top
3463125,Digital,1,260,1000,34799400000,37,M,Potencial
3417123,Digital,1,70,5000,1040000000,21,M,Bajo
1407874,Fisico-Digital,5,0,124522,16852239989,68,F,
2236114,Digital,1,40,1000,20699310000,33,F,Top
373851,Fisico,1,35,18000,3440260000,62,M,Bajo
1514575,Digital,4,5,103986,22800710013,41,M,Potencial
4803304,Digital,1,0,40100,3865380000,72,F,Bajo
1276096,Digital,2,20,72000,5510600000,52,M,Bajo
75622,Digital,1,70,1000,22990000000,74,F,Top
79495,Fisico-Digital,2,13,35000,3830050000,34,M,Bajo
2288658,Fisico,1,35,1000,18059070000,60,M,Bajo
2529796,Fisico,1,0,1000,20999000000,54,F,Potencial
3905430,Digital,1,0,1000,71249440000,39,F,
2601218,Digital,9,0,78026,9262780037,78,F,Top
1841534,Fisico,2,13,30018,17862770006,59,F,Potencial
26984601,,1,26,1000,199000000,65,M,Potencial
118610,Digital,1,29,11000,587400000,42,M,Top
152016576,,2,6,4000,597000000,37,F,Potencial
9124376,,1,15,1000,747000000,23,F,Potencial
1575809,Digital,7,20,199848,32840630204,32,F,Bajo
3247811,Digital,1,30,4000,26785620000,19,M,Bajo
773614,Digital,1,71,1000,7999000000,73,M,Top
151822781,Fisico-Digital,1,19,1000,1592000000,27,M,Potencial
1085651,Digital,1,10,1000,7149450000,22,M,Bajo
2539969,Digital,1,0,1000,18999000000,30,M,
4258694,Digital,1,20,1000,1399300000,27,M,Potencial
153239100,,1,260,1000,175000000,61,F,Top
2016659,Fisico,1,27,1000,8497960000,80,F,Top
931781,Digital,1,4,1000,14999000000,74,M,Bajo
5414474,Digital,2,0,3000,12753650000,59,F,Top
2526282,Fisico-Digital,2,0,3000,2159000000,79,F,Bajo
310061,Digital,2,40,24000,3771100000,23,F,Top
2819241,Digital,1,10,11000,1849390000,51,M,Potencial
5931807,,2,5,2000,50000000,23,M,Bajo
2789277,Fisico,11,7,374070,18577690020,73,F,Potencial
628561,Fisico-Digital,1,0,3000,2698200000,42,M,Top
3231048,Digital,1,13,8000,1334940000,70,M,Top
520634,Digital,2,0,24000,3190900000,76,M,Top
3323573,Fisico-Digital,3,6,14000,9982130000,63,F,Bajo
1415527,Digital,4,0,109688,8802739987,28,F,Top
5491765,Fisico-Digital,1,0,3000,29689000000,21,M,Top
763429,Digital,1,50,2000,560300000,78,F,Top
3005027,Fisico,5,50,217880,15839310006,43,M,Potencial
25782883,,1,30,1000,199000000,68,M,Potencial
1100927,Digital,1,11,10000,8800000000,70,F,Top
1320101,Digital,2,0,70040,3045420279,62,F,Top
962558,Fisico,1,81,2000,2879880000,70,F,Bajo
1504691,Digital,1,0,1000,419940000,31,F,Potencial
2187743,Fisico-Digital,13,300,282503,49165799921,35,M,Potencial
4699518,Digital,2,0,24000,3125500000,27,F,Potencial
902525,Fisico,1,3,1000,9999900000,40,M,Potencial
5274930,Digital,2,0,2000,11598000000,47,M,Potencial
1565637,Digital,1,10,4000,756600000,45,F,Potencial
2904239,Digital,6,40,119000,17095700000,47,M,Top
6747154,Fisico-Digital,13,2,45000,1125000000,45,M,Potencial
4253127,,1,4,1000,597000000,73,M,Top
1305552,Digital,1,0,1000,17310330000,66,M,Bajo
